THURSDAY,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Slots,1,2,3,4,5,6,7,8
Venues/time,08-8:55,09:00-09:55,10:00-10:55,11:00-11:55,12:00-12:55,1:00-01:55,02:00-02:55,03:00-03:55
CLASSROOMS,,,,,,,,
E1 CS(50),"RS BCS-8B
 Zain ul Hassan","DS BCS-8B
 Omer Qureshi","RS BCS-8A
 Zain ul Hassan","TBW BCS-6D
Atifa Batool","CN BCS-6D
 Dr. Farrukh Salim","PPIT BAI-8A
Bilal Ahsan","IB BCS-8C (BSC, BCY, AI, SE)
 Zehra Mukhtiar",
E2 CS (50),"DDR BCS-8B
 Abdul Rehman","NPS BCY-6A
 Shoaib Raza","DDR BCS-8A
 Abdul Rehman","CN BCS-6A
 Dr. Farrukh Salim","AML / ML  BCS-8A
 Noureen Fatima","SRE BSE-8A
Dr. Muazzam","ADVR BCS-8C (BCY, AI, SE)
 Asiya Zaheer","ADVR BCS-8B (BCS D,E,F)
 Asiya Zaheer"
E3 CS (50),"CN BCS-6H
 Yusra Kaleem","IR BCS-6A 
Dr. Muhammad  Rafi ","ARD BCS-8A
 Muhmmad  Ata Ur Rehman","ADVR BCS-8A (BCS A,B,C)
 Asiya Zaheer","DS BCS-8A
 Omer Qureshi",,,"SRE BSE-8B
Dr. Muazzam"
E4 CS (50),"TBW BCS-6D
 Atifa Batool","IIOT BCS-6A 
Dr. Anam Qureshi ","BLCC BCS-8A
 Dr. Sufiyan Hameed","IPP BCS-8A
Dr. Shahnawaz","TBW BCS-6E
Javeria Ali","CN BCS-6E
 Dr. Aqsa Aslam",,
E5 CS (50),"CN BCS-6K
Dr. Farrukh Salim ","SDA BSE-4A
 Rubab Manzar","TBW BCY-4B
 Sameera Sultan","NCYS II BCY-6B
 Shoaib Raza","NCYS II BCY-6A
Shoaib Raza","SE BCS-6G
 Noureen Fatima","AI BCS-6B
 Dr. Fahad Sherwani",
E6 CS (50),"VARE BCY-6A
 Abuzar Zafar","IR BCS-6C
Basit Ali","DS BCS-6B
Dr. Nouman Durrani ","CN BCS-6J
 Dr. Nausheen Shoaib","TBW BCS-6A
 Atifa Batool","AI BCS-6A
 Dr. Fahad Sherwani","SE BCS-6A
 Farrukh Hassan Syed","CN BCS-6J
 Dr. Nausheen Shoaib"
R11 CS (50),"VARE BCY-6B
 Muhammad Nouman Rajput","DS BCS-6A
Dr. Nouman Durrani","IR BCS-6B
Dr. Muhammad Rafi ","AI BCS-6H
 Fizza Aqeel","SE BCS-6C
 Sobia Iftikhar","TBW BCS-6H
 Madiha Rehman",,"SE BCS-6H
 Noureen Fatima "
R12 CS (70),"TBW BCS-6G
 Ms. Khadija","DLP BCS-6A
 Dr. Jawwad Shamsi ","BPE BSE-6B
Dr. Abdul Aziz ","CN BCS-6C
 Dr. Ghufran Ahmed","Gen AI BCS-8A
 Dr. Atif Tahir","CN BCS-6B
 Dr. Ghufran Ahmed",,"TBW BCS-6C
 Ms. Sameera Sultan"
R109 CS (50),Reserved,,,,,,,
A-7 EE (50),,,,,,,,
B-9 EE (53),"CN BCS-6E
 Dr. Aqsa Aslam","WP BCS -6A 
Abdul Rehman ","SDA BCS-6A
Noureen Fatima ","ERP BCS-8A (BCS A,B,C)
 Dr. Nazia Nazeer","SE BCS-6K
 Hajra Ahmed","AI BCS-6J
Fizza Aqeel","ERP BCS-8C (BCY, AI, SE)
 Dr. Nazia Nazeer","ERP BCS-8B (BCS D,E,F)
 Dr. Nazia Nazeer"
B-11 EE (53),Reserved for FSM,,,"PAI BCS-4A
Omer Qureshi",Reserved for FSM,,,
C-14 EE (50),"ANN BAI-6A
 Dr. Maria","EHTT BCY-6A
 Abuzar Zafar",,"CN BCS-6F
 Dr. Aqsa Aslam","BIO BCS-8A
 Dr. Nasiruddin","AI BCS-6C
 Farrukh Hassan Syed","AI BCS-6E
 Mafaza Mohi","SE BCS-6D
 Sobia Iftikhar"
C-16 EE (50),"TBW BCS-6B
 Ms. Javeria Ali","EHCP BCS-6A
Shahbaz Siddiqui",,"ANN BAI-6B
 Dr. Maria","PDC BAI-6B
 Farooq Zaidi","RS BAI-6B
 Dr. Farrukh Shahid",,"PDC BAI-6A
 Farooq Zaidi"
C-17 EE (59),"CN BSE-6A
 Hira Tunio",,,"RS BAI-6A
 Dr. Farrukh Shahid","BPE BSE-6A
 Dr. Abdul Aziz",,"TBW BCS-6J
Atifa Batool","AI BCS-6F
 Mafaza Mohi"
C-18 EE (50),,"Prob BCS-4D
 Urooj",,"AI BCS-6K
 Ahmed Mujtaba Shaikh","CN BSE-6B
 Hira Tunio","COAL BCS-4B (E,F,G,H,J,K)
 Aashir Mehboob","SE BCS-6C
 Sobia Iftikhar",
C-19 EE (50),"CN BAI-6B
 Ms. Rafia ","OS BCS-4E
 Anaum Hamid",,"OS BCS-4F
 Anaum Hamid",,FSM,"AI BCS-6D
 Syed Faisal Ali",
